Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	I_FC_08	I_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
AARS2	NA	NA	1.13132152581629	2.81545716209378	0.712532105743073	0.488337848779488	0.999381634987826	-4.63747469060227	-0.230167908730619	3.66406115871857	-1.30384383476758	0.207737993905198	0.999904720550955	-4.56096041854255	NA	NA	NA	NA	NA	NA	NA	NA
AASDH	NA	NA	-0.604351408608325	0.429873669902066	-0.334215814873123	0.743381388207124	0.999381634987826	-4.62625361995964	-0.676812663387869	1.4037995915424	-2.55493944232183	0.0192763076779934	0.999904720550955	-4.48438870545278	NA	NA	NA	NA	NA	NA	NA	NA
AASDHPPT	NA	NA	0.604529342222126	1.05335867655223	0.44991631484635	0.659951420440922	0.999381634987826	-4.62886474493606	-0.103421224861074	1.91072186029985	-0.294487167647644	0.771553066402861	0.999904720550955	-4.62640001755952	NA	NA	NA	NA	NA	NA	NA	NA
AASS	NA	NA	0.305534792754046	6.29052923104034	0.634573758637982	0.536373530517711	0.999381634987826	-4.78733854535874	-0.0523657509523626	6.43923029880452	-0.223199171700504	0.825743276464486	0.999904720550955	-4.66480512827628	NA	NA	NA	NA	NA	NA	NA	NA
AATF	NA	NA	0.329059090424438	5.26136465625409	0.531901339604408	0.603487505741045	0.999381634987826	-4.78635475875182	-0.0493877894436132	4.84200333584995	-0.157372519925693	0.876598151444281	0.999904720550955	-4.6681463509416	NA	NA	NA	NA	NA	NA	NA	NA
ABAT	NA	NA	0.635066101157325	4.65019388697444	0.554710440214223	0.588217713917782	0.999381634987826	-4.74756022606068	0.209448933482039	3.42618917749583	0.406798906223757	0.688664818894361	0.999904720550955	-4.64338003564016	NA	NA	NA	NA	NA	NA	NA	NA
ABCA1	NA	NA	0.124500137819347	7.52050169180716	0.29477274835404	0.77267748132558	0.999381634987826	-4.86978760550788	0.0748780065324597	7.24639816557047	0.318262972270226	0.75372901836217	0.999904720550955	-4.6567132001132	NA	NA	NA	NA	NA	NA	NA	NA
ABCA12	NA	NA	NA	NA	NA	NA	NA	NA	-0.00107086920569189	-3.82272711312498	-0.000254884954575517	0.999799266818274	0.999904720550955	-4.59638014484993	NA	NA	NA	NA	NA	NA	NA	NA
ABCA2	NA	NA	0.798564220246748	6.73822303556661	1.07267642853721	0.302324522568679	0.999381634987826	-4.62948559855121	-0.20680704078998	6.60445783262977	-0.30259498591225	0.765459645572701	0.999904720550955	-4.66088872479417	NA	NA	NA	NA	NA	NA	NA	NA
ABCA3	NA	NA	-0.782661302680202	3.31294642357844	-0.538405185056995	0.599113201347987	0.999381634987826	-4.68052797010331	0.166396396622327	2.04867984662095	0.29313268786892	0.772572521692093	0.999904720550955	-4.62772112990772	NA	NA	NA	NA	NA	NA	NA	NA
ABCA4	NA	NA	NA	NA	NA	NA	NA	NA	0.334642858345795	-0.734787784324023	0.446096195368039	0.660529021621542	0.999904720550955	-4.60238335461668	NA	NA	NA	NA	NA	NA	NA	NA
ABCA5	NA	NA	1.54386086781715	1.92187936353895	1.18992673176981	0.254697979419176	0.999381634987826	-4.57857792618173	0.453173634333083	3.34672342074509	1.31830903702664	0.202946273870794	0.999904720550955	-4.56149295495661	NA	NA	NA	NA	NA	NA	NA	NA
