Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	E_FC_08	E_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
MED23	NA	NA	-0.24371792774793	3.85197138324696	-0.485116018834992	0.635416066400895	0.932485339319726	-5.42642233177299	-0.034113613015966	3.65954029970904	-0.291102017518353	0.774101708799181	0.99100007980372	-4.72113520560204	NA	NA	NA	NA	NA	NA	NA	NA
MED24	NA	NA	0.0713398814690489	4.4857253903978	0.193613056601283	0.849378246790703	0.976069308854055	-5.71160687427647	0.051711990483728	4.37156820388615	0.152763130317739	0.880182641214866	0.992257226961907	-4.74350025235839	NA	NA	NA	NA	NA	NA	NA	NA
MED25	NA	NA	-0.34872893488686	4.19192657495489	-0.949194062584625	0.359300728407847	0.879494524425671	-5.20796292365789	0.15532809519968	4.37755321109117	0.509158931211835	0.616455567255139	0.987069925746735	-4.71306384022852	NA	NA	NA	NA	NA	NA	NA	NA
MED26	NA	NA	-0.00470112910530007	2.49591865409165	-0.00956575782930601	0.992508469267673	0.998133589154258	-5.28164903205854	-0.0575471543370387	2.52421852229544	-0.307115624749589	0.762068930054679	0.99100007980372	-4.68075043932632	NA	NA	NA	NA	NA	NA	NA	NA
MED27	NA	NA	-0.422195718062645	3.31514817838237	-0.61892028048494	0.54633054586385	0.915039545124515	-5.21189747276394	-0.0640193187532936	2.37862105743896	-0.271581680286129	0.788848850375732	0.99100007980372	-4.68347715110648	NA	NA	NA	NA	NA	NA	NA	NA
MED28	NA	NA	-1.14862166270915	3.00944639443745	-1.40243139638562	0.183490549612911	0.834153720013405	-4.58390599827449	-1.11539977340915	3.57311084254531	-1.8713601728368	0.0766478922094483	0.987069925746735	-4.35894303538415	NA	NA	NA	NA	NA	NA	NA	NA
MED29	NA	NA	-0.194254554128037	3.75535393536687	-0.417915982052343	0.682617248952738	0.94179702165193	-5.47726190719675	0.150972016223147	3.79917975734316	0.770991627864861	0.450117370045185	0.987069925746735	-4.66233983601285	NA	NA	NA	NA	NA	NA	NA	NA
MED30	NA	NA	-0.727262290696899	0.742129108883054	-0.800736422177919	0.437229373880048	0.895788943184681	-4.82123817545664	0.100167533131463	1.37414527137085	0.575503759721898	0.571649605995456	0.987069925746735	-4.6394646378757	NA	NA	NA	NA	NA	NA	NA	NA
MED31	NA	NA	0.308276594836349	3.16260736262701	0.695906438688133	0.498361125446718	0.907365769856889	-5.27258879845538	0.154604064371573	3.12743867454709	1.16576429115981	0.258019699904439	0.987069925746735	-4.57156709425678	NA	NA	NA	NA	NA	NA	NA	NA
MED4	NA	NA	-0.29444764518948	3.39936468595061	-0.657380866467528	0.52205024239373	0.910609440351017	-5.2600590647476	0.184912690801391	3.71598701889794	1.41947736070262	0.171828136317477	0.987069925746735	-4.49796966490285	NA	NA	NA	NA	NA	NA	NA	NA
MED6	NA	NA	-0.0121670767726845	2.7790325102265	-0.0260489453398575	0.979601620193742	0.997075430056989	-5.32159031036778	0.16599606780881	3.25894684842531	1.30730577038326	0.20658320534119	0.987069925746735	-4.53610544648791	NA	NA	NA	NA	NA	NA	NA	NA
MED7	NA	NA	-1.08341624234859	0.200254972293526	-0.945371512706409	0.361178054829404	0.880576427134864	-4.74811047250569	0.118918653327703	2.07682413956856	0.593744714319024	0.559629309757119	0.987069925746735	-4.65557676415072	NA	NA	NA	NA	NA	NA	NA	NA
MED8	NA	NA	-0.353521706331339	4.48098474901558	-0.958700730290366	0.354661507583674	0.877363616411859	-5.2815928084114	0.140089203058825	3.31183026558802	0.651993752044034	0.522151823527687	0.987069925746735	-4.6711456285034	NA	NA	NA	NA	NA	NA	NA	NA
MEDAG	NA	NA	-0.257722174164441	0.206134090283	-0.213435211110637	0.834195443084037	0.973916208211405	-4.94628958557911	-0.665786859142352	0.329591838635623	-1.58828073694706	0.128591301484672	0.987069925746735	-4.5404415448814	NA	NA	NA	NA	NA	NA	NA	NA
MEF2A	NA	NA	-0.0781791837925123	3.92191741401841	-0.166261611556656	0.870429562695425	0.979044793893391	-5.49299467907337	-0.261948333361352	3.43278596020625	-1.07272392908736	0.296723146326716	0.987069925746735	-4.59199008654378	NA	NA	NA	NA	NA	NA	NA	NA
MEF2B	NA	NA	-1.91809898250702	-1.27646201978676	-1.56488890737749	0.140873705928735	0.834153720013405	-4.3780466943201	0.188297127875344	-0.953839439008195	0.490983166064932	0.629015753648464	0.987069925746735	-4.60973773744997	NA	NA	NA	NA	NA	NA	NA	NA
MEF2C	NA	NA	-0.558963090688151	3.36233098021272	-1.07184318844016	0.302685298480715	0.86328856987889	-4.86849231548891	-0.181477104660002	3.27525198265233	-0.90111983904126	0.378714485351573	0.987069925746735	-4.62397630381392	NA	NA	NA	NA	NA	NA	NA	NA
MEF2D	NA	NA	-0.352720502232639	4.0558877562265	-0.67902749203154	0.508660861158664	0.908279509636866	-5.44254077371221	-0.404241916021336	4.14856307686429	-2.16809832317112	0.0429468465251657	0.987069925746735	-4.22028904918827	NA	NA	NA	NA	NA	NA	NA	NA
MEGF11	NA	NA	NA	NA	NA	NA	NA	NA	-1.0774153257877	-4.06282128143999	-0.498801006704472	0.62359878739823	0.987069925746735	-4.59710285398102	NA	NA	NA	NA	NA	NA	NA	NA
MEGF8	NA	NA	-0.551756995739896	6.27560622481365	-1.24474880289332	0.234520403316832	0.846308390082916	-5.16706677652601	-0.215782148061582	5.54132997198354	-1.5790080352661	0.130704749391519	0.987069925746735	-4.42820154742282	NA	NA	NA	NA	NA	NA	NA	NA
MEGF9	NA	NA	0.48547448925992	-1.54368077857661	0.296576181305275	0.771329678784979	0.961546655187647	-4.82250504804115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEIG1	NA	NA	NA	NA	NA	NA	NA	NA	0.844316836875428	-0.828447631217365	1.92106646432458	0.0697314714504173	0.987069925746735	-4.54648973828352	NA	NA	NA	NA	NA	NA	NA	NA
MEIOB	NA	NA	-0.194841526952418	-0.184805501149004	-0.136302863136709	0.893605089526487	0.983936803954626	-4.98727993805033	0.447632184270588	0.266667979824179	1.20735291273382	0.241992709033969	0.987069925746735	-4.58126233560705	NA	NA	NA	NA	NA	NA	NA	NA
MEIOC	NA	NA	0.487384577316658	2.85567989328863	0.819864995190813	0.426613154338686	0.894301160252754	-5.21778674067927	0.552687174082515	4.75333203623903	2.55696990397707	0.0191932235363411	0.987069925746735	-4.03109014145222	NA	NA	NA	NA	NA	NA	NA	NA
MEIS1	NA	NA	-0.0989832173323473	3.51947897511674	-0.177293857769948	0.861925182852656	0.977698437583022	-5.38393481667578	0.163525160633385	3.97095076456389	0.764131813808785	0.45409848524528	0.987069925746735	-4.66113958285587	NA	NA	NA	NA	NA	NA	NA	NA
MEIS2	NA	NA	-1.04106844804336	-0.843238008679651	-0.671871756189113	0.513064692786306	0.908279509636866	-4.77652033582975	-0.333832992170332	0.0363344491305569	-0.889234465945601	0.384907765513761	0.987069925746735	-4.60318228935225	NA	NA	NA	NA	NA	NA	NA	NA
MELK	NA	NA	NA	NA	NA	NA	NA	NA	0.54111749206203	-2.46857909348546	0.418704860834102	0.68008883651654	0.987069925746735	-4.60460489813313	NA	NA	NA	NA	NA	NA	NA	NA
MELTF	NA	NA	-0.634026210714986	5.39619125597134	-0.586385683631112	0.567347846254531	0.916038849161111	-5.64379114930559	0.648458950424161	4.98390372967775	0.844336234194483	0.408902510028146	0.987069925746735	-4.65722234010313	NA	NA	NA	NA	NA	NA	NA	NA
MEMO1	NA	NA	-0.221359435269572	2.98055254810456	-0.324417730305122	0.75062233738773	0.956025591553299	-5.26042395164446	0.136832366765983	3.4007452989205	0.380096940772605	0.708054911361119	0.989726891306888	-4.69252625371549	NA	NA	NA	NA	NA	NA	NA	NA
MEN1	NA	NA	-1.59778918885206	0.185203292161995	-1.3583533764652	0.196745394062911	0.841648704665788	-4.50229171147565	0.226748588488314	1.27800564756017	0.989733730802534	0.33464162044894	0.987069925746735	-4.59962602149774	NA	NA	NA	NA	NA	NA	NA	NA
MEPCE	NA	NA	-1.04132622875014	4.26472870972114	-1.02300620928544	0.324390343732418	0.866866848295449	-5.09506891255428	-0.136973169448476	4.81014400694521	-0.987377663680477	0.335765418866499	0.987069925746735	-4.61898173771333	NA	NA	NA	NA	NA	NA	NA	NA
MERTK	NA	NA	0.333816051322838	4.28447534655943	0.707700630174081	0.491238104266874	0.906275153232993	-5.43579503309044	0.0533068650677442	4.05793944435548	0.228063503965153	0.822013513102546	0.99100007980372	-4.72573069316837	NA	NA	NA	NA	NA	NA	NA	NA
MESD	NA	NA	-0.00716090403245229	6.27912686661899	-0.0249834962340675	0.980435760444077	0.997128101864098	-5.89416854481711	-0.0160892781384723	6.92732358797513	-0.119735930608187	0.905939146758794	0.993208829816619	-4.74755370777291	NA	NA	NA	NA	NA	NA	NA	NA
MEST	NA	NA	0.366090126743285	4.9068385364787	0.866609021704692	0.401383182332121	0.887617995723827	-5.43290260358459	0.397490803670051	4.48192087663017	1.65531401511804	0.114151513811149	0.987069925746735	-4.4092174048916	NA	NA	NA	NA	NA	NA	NA	NA
MET	NA	NA	-0.156653771765755	6.26650359916866	-0.465486431318286	0.649045942388186	0.933473227441072	-5.79981904220292	-0.166517926093898	6.07249030118215	-1.09387683675006	0.287573461460298	0.987069925746735	-4.59195443794269	NA	NA	NA	NA	NA	NA	NA	NA
METAP1	NA	NA	-0.0113697334267959	7.38123110104986	-0.0372053694151065	0.970868940802707	0.996303730466477	-5.93249363049204	-0.0170830130252844	7.04145635501964	-0.11330350420745	0.91096891588048	0.994089979719046	-4.74500109919624	NA	NA	NA	NA	NA	NA	NA	NA
METAP1D	NA	NA	-1.59704254333505	0.551118004332815	-1.34174643482868	0.201938004516496	0.842818346291309	-4.50368437464374	-0.0230189105881284	2.48900095446228	-0.064592816882247	0.949167490522657	0.99705550261455	-4.69100731632221	NA	NA	NA	NA	NA	NA	NA	NA
METAP2	NA	NA	0.200833228270386	5.11360545962333	0.70823918434452	0.490914308916406	0.906275153232993	-5.57338478213538	0.0757863929684532	4.8645819457582	0.621411262639194	0.541653873046634	0.987069925746735	-4.70133899104603	NA	NA	NA	NA	NA	NA	NA	NA
METRN	NA	NA	0.476088229970591	2.94878522090799	0.659399783215893	0.520792956385241	0.91059040874347	-5.17005470059065	-0.718489313202403	1.88391430306784	-0.832921122096029	0.415153413049425	0.987069925746735	-4.62199327916023	NA	NA	NA	NA	NA	NA	NA	NA
METRNL	NA	NA	0.255581778232616	4.80918637540686	0.588527837715647	0.565950819308886	0.916038540846341	-5.5620339929951	-0.196224480150632	4.8742277974885	-1.10885330991675	0.28122079191003	0.987069925746735	-4.58701705934559	NA	NA	NA	NA	NA	NA	NA	NA
METTL1	NA	NA	-1.54793131934336	2.3562828024926	-1.56378604836207	0.141131857968732	0.834153720013405	-4.35881346504284	0.319848344843088	2.35803497102591	1.56575525056316	0.13377576443312	0.987069925746735	-4.49969141029448	NA	NA	NA	NA	NA	NA	NA	NA
METTL14	NA	NA	-0.590270697369331	3.99734720136991	-1.21708453951978	0.244539544527968	0.846308390082916	-4.87035333046366	0.284143514024148	4.10522400116294	1.78887052256829	0.0894612935706016	0.987069925746735	-4.37047390872395	NA	NA	NA	NA	NA	NA	NA	NA
METTL15	NA	NA	-1.538388345973	1.60641109582937	-1.1461025491068	0.271775766387605	0.856415584982217	-4.68019486045104	0.300173759402197	2.15849582685083	1.19774243639212	0.245627542975162	0.987069925746735	-4.56992227227701	NA	NA	NA	NA	NA	NA	NA	NA
METTL16	NA	NA	-2.05614490106893	1.91344305462779	-2.30751385986015	0.0375491357810977	0.832951806593683	-3.66415996883418	-0.0449282284644306	3.11799290217762	-0.142796147797843	0.887942429640303	0.992257226961907	-4.71125845662247	NA	NA	NA	NA	NA	NA	NA	NA
METTL17	NA	NA	-1.37120989426295	1.94396743352207	-1.42451702601051	0.177131247315585	0.834153720013405	-4.46764628347255	0.0267480435331335	2.45743450012608	0.0685862934321682	0.946029780561933	0.996225586032732	-4.68274620384989	NA	NA	NA	NA	NA	NA	NA	NA
METTL18	NA	NA	0.145668674615839	2.72758036193973	0.167440252056527	0.869520171480254	0.979044793893391	-5.31454603410763	0.429779229642169	3.28592228131827	1.28562306050604	0.213899310521384	0.987069925746735	-4.54128329138237	NA	NA	NA	NA	NA	NA	NA	NA
METTL21A	NA	NA	-1.68962162718946	2.34342180291139	-1.52487522154737	0.15050231656306	0.834153720013405	-4.39445982070925	0.221527084840212	2.92200324878673	0.791988045517516	0.438065472508401	0.987069925746735	-4.6434286982739	NA	NA	NA	NA	NA	NA	NA	NA
METTL22	NA	NA	-0.363980131114426	4.03740869283931	-0.756906014104782	0.46218690252874	0.89973066768114	-5.32515192064634	0.112116340693782	4.08062615568556	0.925793936880862	0.366069917342637	0.987069925746735	-4.63232746253868	NA	NA	NA	NA	NA	NA	NA	NA
METTL23	NA	NA	0.222394618069065	2.43859321153599	0.263832491558871	0.795916427690342	0.966940867495892	-5.43074129428619	0.00179115618008385	3.97299514480021	0.00962001138129479	0.992423938168789	0.99893072830535	-4.74257778593799	NA	NA	NA	NA	NA	NA	NA	NA
METTL25	NA	NA	0.629494988541337	1.59539574180608	0.972593949757752	0.347957784439449	0.877363616411859	-4.828719370543	0.0587067623174908	2.12021961225672	0.215885541508912	0.831359032670424	0.99100007980372	-4.680734918029	NA	NA	NA	NA	NA	NA	NA	NA
METTL26	NA	NA	0.16283513596761	4.00405312033563	0.459969013263575	0.652900984159889	0.934728286174862	-5.53945733820231	-0.00617017685699039	3.65034637337864	-0.0382517241736561	0.969882801997354	0.997709704201561	-4.73012693386049	NA	NA	NA	NA	NA	NA	NA	NA
METTL27	NA	NA	-0.445962998876879	3.55571415842673	-0.656181333958583	0.522798077962716	0.910609440351017	-5.27628807128867	-0.160462729148358	3.11004784593532	-0.785788416149775	0.441603054407308	0.987069925746735	-4.64496638415434	NA	NA	NA	NA	NA	NA	NA	NA
METTL3	NA	NA	-1.2480424716799	3.2504711835488	-1.34798045875554	0.199975849791959	0.84187551621643	-4.62233891479991	0.168147346092846	3.12043171928753	1.05709128309781	0.303618907601343	0.987069925746735	-4.59545713890929	NA	NA	NA	NA	NA	NA	NA	NA
METTL4	NA	NA	-0.738087418539602	0.118826300901311	-0.605316611470857	0.555066008188784	0.916038540846341	-4.87649041384506	-0.0379807828671643	1.25803271900602	-0.161215506591836	0.873611739149671	0.991852320798406	-4.65018930160198	NA	NA	NA	NA	NA	NA	NA	NA
METTL5	NA	NA	-1.66939765468924	-0.130357147513169	-1.36621034499583	0.19432693108434	0.840740986295438	-4.49714709389044	0.267580809124444	2.30175471058966	1.24647431399938	0.227617576858474	0.987069925746735	-4.55764029925002	NA	NA	NA	NA	NA	NA	NA	NA
METTL6	NA	NA	0.446077313916508	2.26615540992654	0.686888962273729	0.50384826608983	0.908279509636866	-5.09777883580968	0.0482130237904204	3.1672200609362	0.160112628065551	0.874468597028177	0.991939657578495	-4.7088258703402	NA	NA	NA	NA	NA	NA	NA	NA
METTL9	NA	NA	-0.201216130099805	4.34677496505212	-0.513038746794589	0.616263717611563	0.930208445879636	-5.5901379954511	-0.0842937542976072	3.98938483519892	-0.419595329750699	0.67944919696849	0.987069925746735	-4.72185900758993	NA	NA	NA	NA	NA	NA	NA	NA
MEX3C	NA	NA	-1.06751128165534	2.39919694543821	-0.906170347202895	0.380825669406915	0.88422112222812	-4.82526852838919	-0.284033362918198	2.4293418594079	-0.945975491578987	0.35594139278628	0.987069925746735	-4.60962979388633	NA	NA	NA	NA	NA	NA	NA	NA
MEX3D	NA	NA	-0.479410022146883	2.6198881510007	-0.8356675069965	0.417970314004757	0.892088392350821	-4.99094376898076	-0.408177957061062	2.90713787987493	-1.85673084060662	0.0787954029831942	0.987069925746735	-4.41120007092478	NA	NA	NA	NA	NA	NA	NA	NA
MFAP1	NA	NA	-0.296407574739932	5.88958605635568	-0.735977165157583	0.474411188863729	0.902873726315518	-5.60754026576234	0.0241703103853563	5.59374128387593	0.172928173839926	0.864521919583529	0.99144387079502	-4.75584799427331	NA	NA	NA	NA	NA	NA	NA	NA
MFAP2	NA	NA	NA	NA	NA	NA	NA	NA	0.0968928814139234	-0.531835871155012	0.116044527757724	0.908825116927265	0.994085177364483	-4.61085194653288	NA	NA	NA	NA	NA	NA	NA	NA
MFAP3	NA	NA	-0.107909142323281	2.89480858035043	-0.203819766569553	0.841552206728565	0.974713845480053	-5.32453446219279	-0.0388291051206044	3.20015319103079	-0.225945074323214	0.823637306691842	0.99100007980372	-4.71051865774961	NA	NA	NA	NA	NA	NA	NA	NA
MFAP3L	NA	NA	-0.072553486074562	0.468732512968245	-0.0612201191900262	0.952086148810348	0.994941318216967	-5.01843156215285	0.201516341359512	2.07516948977757	0.645510694010435	0.526253222463624	0.987069925746735	-4.64097828901372	NA	NA	NA	NA	NA	NA	NA	NA
MFAP4	NA	NA	-0.831958956834431	2.9225832032709	-0.636984537046056	0.534849147622991	0.913112356111726	-4.96563367248891	-0.623996739327555	2.03943760796747	-1.96918848934369	0.0635681531599118	0.987069925746735	-4.41760965307678	NA	NA	NA	NA	NA	NA	NA	NA
MFAP5	NA	NA	0.51399782050132	3.62048081072575	0.687007760120508	0.503775747002797	0.908279509636866	-5.30110544061603	-0.599415446865392	2.52385618735404	-2.41971259634423	0.0256371762279244	0.987069925746735	-4.25163297549458	NA	NA	NA	NA	NA	NA	NA	NA
MFF	NA	NA	-2.17048350686344	2.44355304504645	-2.35932696907716	0.034065297159047	0.832951806593683	-3.57961860341625	-0.00344612818433498	3.26828085944511	-0.0259242530668301	0.979585909164958	0.997919072422632	-4.72220908449581	NA	NA	NA	NA	NA	NA	NA	NA
MFGE8	NA	NA	-0.0315696984354812	5.64238464797792	-0.105466348193366	0.917565690008395	0.989159434708001	-5.81820335743206	0.0090951938557442	4.38355506783976	0.0296438331970912	0.976657766352463	0.997709704201561	-4.74793471371177	NA	NA	NA	NA	NA	NA	NA	NA
MFHAS1	NA	NA	-0.185727425944068	4.52743032595638	-0.592559615934209	0.563326458861065	0.916038540846341	-5.50862080727508	-0.186974670689242	4.04237678674407	-0.892759205217574	0.383064138779576	0.987069925746735	-4.63556047074858	NA	NA	NA	NA	NA	NA	NA	NA
