Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	H_FC_08	H_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
MYADM	NA	NA	0.800692588080374	4.95363293456894	1.7042875783441	0.10905869834811	0.549418653276539	-5.23207779543109	-0.400862550003129	5.24219480886089	-1.24148013596779	0.228026630500589	0.535065415407155	-5.91824605458963	NA	NA	NA	NA	NA	NA	NA	NA
MYBBP1A	NA	NA	0.201750696375845	5.36266198994813	0.988458358118108	0.33868963756246	0.763459804909294	-6.18800057695345	-0.115232649107538	5.06035151593137	-0.804117839292936	0.430278620863599	0.712870795011939	-6.35418043990228	NA	NA	NA	NA	NA	NA	NA	NA
MYBL1	NA	NA	-0.731069127064846	-2.08453003062125	-0.694837003886796	0.497837267895402	0.835160870185451	-5.1494322384947	-0.470083583844498	-0.32130520253233	-0.948831480928213	0.353427267554112	0.654557096775332	-5.33578298396325	NA	NA	NA	NA	NA	NA	NA	NA
MYBL2	NA	NA	NA	NA	NA	NA	NA	NA	-3.32085975780142	-3.57958947097253	-2.02020324364817	0.0562128939423575	0.252519298520701	-3.98755658786578	NA	NA	NA	NA	NA	NA	NA	NA
MYC	NA	NA	2.18795344764876	3.72786161912432	2.79807269584556	0.0135667161833261	0.246209236568127	-3.09118119148722	-0.243004348288395	3.45125064283547	-0.444961845182451	0.66086963196202	0.859190059355307	-6.44018811495927	NA	NA	NA	NA	NA	NA	NA	NA
MYCBP	NA	NA	-1.32092253353693	-0.339307567294551	-1.23195956192997	0.237029336890664	0.6887767938143	-4.87297392236032	-0.214122207331074	1.6307719689939	-1.41088358412253	0.172825167274392	0.463784512033445	-5.25496292621825	NA	NA	NA	NA	NA	NA	NA	NA
MYCBP2	NA	NA	0.0144547720691035	6.11417575694351	0.0644183217761351	0.949492387949376	0.988699422600813	-6.73947357379405	0.205426275516115	5.83596572858497	1.84142645005686	0.0796347020060917	0.306292213392833	-5.06314758478656	NA	NA	NA	NA	NA	NA	NA	NA
MYCL	NA	NA	-0.113303548839017	5.2561849458534	-0.50283060720518	0.622424810624273	0.88357692334461	-6.54484523661063	0.564360203390068	4.93075027890739	3.11529675729153	0.00520639527183772	0.0596216757117393	-2.57155896735234	NA	NA	NA	NA	NA	NA	NA	NA
MYCT1	NA	NA	0.749249107848783	1.16748940714118	1.40976335615172	0.179115426734003	0.644766193149648	-4.85031166956609	0.101875975890516	-0.00112569998075121	0.350267278723704	0.729603778321581	0.893795596346242	-5.78037883337274	NA	NA	NA	NA	NA	NA	NA	NA
MYD88	NA	NA	-0.141624729554117	0.205197214868975	-0.134670173572582	0.894672732024641	0.972675236151118	-5.57064652717722	0.378413650801935	1.3681036444042	1.36687792916064	0.186023985096912	0.483465341938257	-5.25923104257061	NA	NA	NA	NA	NA	NA	NA	NA
MYDGF	NA	NA	-0.198950621338197	3.04187252777254	-0.321308378248193	0.752434125435491	0.929451315260476	-6.15834915439597	0.188073519997819	2.23610182374615	0.138211513409468	0.89138123608748	0.957348176914589	-6.32011034781872	NA	NA	NA	NA	NA	NA	NA	NA
MYEF2	NA	NA	0.0287123206195123	3.84647725044208	0.111645979820512	0.912592382796937	0.979180948928554	-6.44160745007042	-0.13987433114437	4.73814596538962	-1.02335329546255	0.317708701112033	0.622109829434149	-6.14343074400691	NA	NA	NA	NA	NA	NA	NA	NA
MYG1	NA	NA	0.285166347235384	2.80215707616858	0.58888677643863	0.564748070794511	0.86008893252586	-5.99778739946861	-0.0399045630532728	3.10680177187569	-0.175777398346986	0.862141592092972	0.946502881635189	-6.47230305373904	NA	NA	NA	NA	NA	NA	NA	NA
MYH10	NA	NA	0.1410618225406	8.45912796140905	0.563634064649116	0.581377197294068	0.866562919490819	-6.60390589104288	0.46438541449564	7.62685754602979	2.15404391948075	0.0429230201681837	0.21711254961341	-4.45555976835425	NA	NA	NA	NA	NA	NA	NA	NA
MYH11	NA	NA	1.65122626519252	6.00965564214093	2.72241145706965	0.0157939990473589	0.26376422770982	-3.55499649360229	0.0713921852739006	4.96790911247012	0.210362635947437	0.835398864553069	0.936042417892231	-6.6569489474931	NA	NA	NA	NA	NA	NA	NA	NA
MYH7B	NA	NA	NA	NA	NA	NA	NA	NA	-1.50915835775527	-3.17413732036717	-1.38167242278007	0.181500073278191	0.476743275842296	-4.49302668292289	NA	NA	NA	NA	NA	NA	NA	NA
MYH9	NA	NA	0.180519756215954	8.75320643193213	0.660162578922686	0.519212803780918	0.840921381631788	-6.53919821401822	0.135557943218986	8.01050955901052	1.17221329196385	0.254151862476069	0.562525387636832	-5.90505891076775	NA	NA	NA	NA	NA	NA	NA	NA
MYL12B	NA	NA	-0.238258997432975	7.21535298357198	-1.1898590626999	0.252693418774714	0.701645750771182	-6.06301923338688	-0.120065980918787	6.88782929728801	-1.04284910723482	0.308797142370051	0.614570619437624	-6.10051312514316	NA	NA	NA	NA	NA	NA	NA	NA
MYL9	NA	NA	1.06664667974108	5.51629832684464	3.52855794345634	0.00306241769261055	0.128670778100778	-1.95599588305257	0.0321294216676771	5.0225574288974	0.18478105396356	0.855161868363817	0.943629311494391	-6.66384391958683	NA	NA	NA	NA	NA	NA	NA	NA
MYLIP	0	0	1.48857603631958	3.75478232726789	3.11689478979953	0.00710689808990963	0.183772612047474	-2.52541412393573	0.508858976097927	2.68603753080296	2.22592566928432	0.0370251150757213	0.199592616980849	-4.14912813319329	1	1	1.48857603631958	0.508858976097927	1	0	0.0332276044291768	0.0276237448908242
MYLPF	NA	NA	1.07967815553985	-1.59003373745882	0.97402135469337	0.34557549595945	0.768162118250903	-5.00426261369089	0.311837567221888	-0.320819697257754	0.842506911222533	0.408934764450978	0.699210614430339	-5.41813969409713	NA	NA	NA	NA	NA	NA	NA	NA
MYNN	NA	NA	0.274379066804083	3.09840308005816	0.723956685798296	0.480291658521646	0.827964525316933	-5.99149040469529	0.572441963438543	2.31230237415253	2.24146640470358	0.0358513607419792	0.195420327664347	-4.05981586313944	NA	NA	NA	NA	NA	NA	NA	NA
MYO10	0	1	0.386701005709511	6.02645792590701	1.4653991808201	0.163569073169946	0.626239988019832	-5.67954054864523	0.39459235454335	5.49362496271994	3.5235848881331	0.00200138020596604	0.0332358086907894	-1.66995872291334	1	1	0.386701005709511	0.39459235454335	1	0	0.0379873267558046	0.0296480941356817
MYO19	NA	NA	0.35682330349788	5.24856018339683	1.23695998859734	0.235220172532125	0.687303666028015	-5.90719093600652	0.0708516620516031	4.20525094443187	0.493430506366888	0.626795237210001	0.842394698057532	-6.5070787499317	NA	NA	NA	NA	NA	NA	NA	NA
MYO1B	NA	NA	-0.231380021661163	6.23435670527873	-1.08573160194551	0.294830670807548	0.734057007608268	-6.15185349844999	0.0263650241217492	5.94693927345819	0.206309150955906	0.838523317245357	0.93716929919205	-6.65847121517804	NA	NA	NA	NA	NA	NA	NA	NA
MYO1C	NA	NA	0.46844498671575	6.25633182385986	2.25665598199792	0.0394693179205176	0.382128461163188	-4.44451625153896	0.0225970193271072	6.29967023816044	0.223642582526574	0.825182360486513	0.932736318910877	-6.64399169792531	NA	NA	NA	NA	NA	NA	NA	NA
MYO1D	NA	NA	0.733067381712362	0.436665141305328	0.875987028830254	0.394923025803223	0.793135968222664	-5.26104162135348	-0.245774259509792	1.68725330216325	-1.33812687114038	0.195070637676891	0.494565068923966	-5.35742250373609	NA	NA	NA	NA	NA	NA	NA	NA
MYO1E	NA	NA	-1.11902748480463	0.14485417319582	-0.777700872944557	0.448903402544681	0.815579669963059	-5.30666606092736	-0.517214607577593	1.58192218043026	-2.6554407216788	0.0147469870166641	0.113743329576419	-3.16006828981216	NA	NA	NA	NA	NA	NA	NA	NA
MYO1F	NA	NA	2.13434629589602	1.19782360284415	2.59283637198935	0.0204545868278571	0.301056296036088	-3.13158662138332	0.086961326876055	1.84405043487063	0.292641506907501	0.772649036173558	0.911655021358766	-6.21019983274883	NA	NA	NA	NA	NA	NA	NA	NA
MYO1H	NA	NA	NA	NA	NA	NA	NA	NA	-3.2097841145594	-2.30797754946579	-2.74038260999967	0.0122121184190118	0.101109053875364	-3.01041536565546	NA	NA	NA	NA	NA	NA	NA	NA
MYO5A	NA	NA	0.0476755520521762	-0.587582929822317	0.0366166033241041	0.971276171650455	0.993710126445075	-5.48255928243987	-0.340488255447811	0.317901358871186	-0.709512886870615	0.48575846163731	0.753437269979366	-5.67406853899694	NA	NA	NA	NA	NA	NA	NA	NA
MYO6	NA	NA	1.20596894006821	2.15920107252758	2.00706246897217	0.0632156688553435	0.456554384979089	-4.21109827704808	0.0555065120741385	2.97540301127702	0.20414828338743	0.840190047786895	0.937407519618184	-6.44483591067602	NA	NA	NA	NA	NA	NA	NA	NA
MYO7A	NA	NA	-0.151583855282469	1.48326699022698	-0.284182903433431	0.78017655905985	0.93891144436218	-5.77077334120343	-0.216879626792249	1.69990786363743	-0.602298283010667	0.553381336458636	0.796763499647864	-6.04320937201519	NA	NA	NA	NA	NA	NA	NA	NA
MYO7B	NA	NA	NA	NA	NA	NA	NA	NA	-0.219354857447877	-0.104741560554681	-0.658986702645679	0.517018205980453	0.775227236353916	-5.60482777188859	NA	NA	NA	NA	NA	NA	NA	NA
MYO9A	0	0	1.06955591529833	4.10800557789416	3.92348429734125	0.00136764948422861	0.100457120672454	-1.02157625305751	0.255146869329708	3.15481759533022	1.29538935481417	0.209152770737046	0.51209427120908	-5.66872095637415	1	0	1.06955591529833	0.255146869329708	1	0	0.0350338458170164	0.066431335901686
MYO9B	NA	NA	0.36565558101475	5.40965756826444	1.24586311970535	0.232025709401534	0.686060842564364	-5.91095867330043	0.194745661519517	5.47554104931412	1.78809530878662	0.0881036604162392	0.321879474295379	-5.15332337947775	NA	NA	NA	NA	NA	NA	NA	NA
MYOCD	NA	NA	1.16623423919415	0.0384325074348529	1.02337755297634	0.322438238760677	0.753721013575271	-5.0940758161038	-0.163299373953403	-0.169383764065321	-0.672078448293547	0.508812578578795	0.769320764726115	-5.58161801749156	NA	NA	NA	NA	NA	NA	NA	NA
MYOF	NA	NA	1.93590704781048	1.28024790324445	2.23256799154432	0.0413345084948324	0.388542166759965	-3.71577573719417	-0.099122105904033	2.27257005851481	-0.557133032895336	0.583287429518851	0.815627189989485	-6.18136515173559	NA	NA	NA	NA	NA	NA	NA	NA
MYOM1	NA	NA	3.0681589786654	-1.74314182228363	2.75665290041709	0.0147452466899208	0.256130723046664	-2.89462536361487	1.16250974794012	-1.18752716127703	1.44317162475893	0.163626606612183	0.450371077631207	-4.63840256418571	NA	NA	NA	NA	NA	NA	NA	NA
MYOZ2	NA	NA	-1.59800671611791	3.46185929337486	-3.09037883394667	0.0075016062286461	0.187067726316257	-2.49586292553843	-0.262735528879486	4.45338625214793	-1.17684533813088	0.252337756962952	0.562035601239079	-5.96117996805192	NA	NA	NA	NA	NA	NA	NA	NA
MYRF	NA	NA	-0.102034495059503	4.58598618298704	-0.369854555862199	0.716688503348574	0.917849083149017	-6.51766133451943	0.0459082174156764	4.99996569145168	0.303024273138748	0.764832995272759	0.908464037333872	-6.63353560149825	NA	NA	NA	NA	NA	NA	NA	NA
MYRIP	NA	NA	-1.19629668344013	1.01289093760783	-1.44314256616727	0.169648647069789	0.634127743606024	-4.7920417570922	-0.415673326767628	2.38686213391494	-2.45703393194498	0.0227295611535035	0.149435215036997	-3.67001698213927	NA	NA	NA	NA	NA	NA	NA	NA
MYSM1	0	1	-0.342940633703749	3.37162205602182	-0.865617586313007	0.400406340311969	0.794935852824333	-5.95163778067773	0.518247802805845	3.11579121943584	3.99401659534659	0.000652001099993161	0.0160838083316262	-0.450207087073847	1	1	-0.342940633703749	0.518247802805845	0	0	0.0330646197313759	0.0427049533317162
MYZAP	NA	NA	0.912283262172791	3.20475984433072	1.24320670429178	0.232975264169692	0.68704305504522	-5.48927114370389	-0.332033181754586	3.65500123993777	-1.07775060128242	0.293289368958942	0.601116160125905	-5.98850656145337	NA	NA	NA	NA	NA	NA	NA	NA
MZT1	NA	NA	-0.371680239074412	1.89891835068961	-0.637674642856118	0.533351042441121	0.845953763366813	-5.71390957563558	-0.0222683799256838	2.89519935745487	-0.104079830239229	0.918087055608031	0.968862975185799	-6.44705999136332	NA	NA	NA	NA	NA	NA	NA	NA
N4BP2	0	1	-0.260607575777988	4.48612692965464	-1.27805365794394	0.220758656326273	0.68152290463978	-5.76300354226036	-0.444774568743937	4.71590437459255	-3.75286559429712	0.00116059537915801	0.0234245481351458	-1.13176282757341	1	1	-0.260607575777988	-0.444774568743937	-1	0	0.0328293504125679	0.0293856686159758
N4BP2L1	NA	NA	0.0389099751947128	4.73373876020433	0.141443730082955	0.88941170740542	0.97013186463264	-6.60046890252018	0.305537423591399	6.00272279499227	3.26132969568427	0.0037083647110648	0.0490517059077691	-2.25284328662799	NA	NA	NA	NA	NA	NA	NA	NA
N4BP3	NA	NA	3.26712246870433	-1.05257399552015	3.34655246889939	0.00444490160377581	0.154368311098029	-2.01556618789069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N6AMT1	NA	NA	0.217551152968126	2.0796845880989	0.362410442429107	0.722127993417099	0.919592319033529	-5.9019873341133	-0.272152650904355	3.04206513373704	-2.48978614657382	0.0211802194930914	0.143162411009275	-3.70549879700067	NA	NA	NA	NA	NA	NA	NA	NA
NAA10	NA	NA	-0.272298370660907	6.5271829163847	-1.12063439132596	0.280159571917612	0.72396831079424	-6.1261969986888	0.0789696665536477	6.13454942230269	0.655694783232256	0.519093021274644	0.776627360954576	-6.45568812161469	NA	NA	NA	NA	NA	NA	NA	NA
NAA15	NA	NA	0.165278026065941	5.09500640115409	0.609791543305477	0.551175401701009	0.85360750033107	-6.4637758590249	0.270915031090319	5.24555167312059	2.94399465276693	0.00771461060146732	0.0758134089523994	-2.95106310383852	NA	NA	NA	NA	NA	NA	NA	NA
NAA20	NA	NA	-0.0917229055537438	3.10866598640497	-0.298690162153871	0.769296640996463	0.935748954868926	-6.20920598455722	0.0910838580059501	3.69676842334297	0.638329396218239	0.530113875030999	0.782227246513038	-6.36785045981765	NA	NA	NA	NA	NA	NA	NA	NA
NAA25	NA	NA	0.345067247708573	5.16763604937355	1.50558231895566	0.153051681093007	0.612470448777287	-5.55619530777668	-0.0848220342963746	4.96862390264256	-0.937555410756535	0.359060924379727	0.658902365173428	-6.23604079201372	NA	NA	NA	NA	NA	NA	NA	NA
NAA30	NA	NA	0.160194070143577	2.98255426433563	0.574387513534739	0.574265101719338	0.863512322688905	-6.05461989576261	0.278410641104262	3.27114227066848	3.24762652994597	0.00382887327804828	0.0500947146650178	-2.15088695631841	NA	NA	NA	NA	NA	NA	NA	NA
NAA35	NA	NA	0.240483009040257	2.4460053952629	0.396544108486682	0.697318013397058	0.912705308674903	-5.99382140947101	-0.0638101377458309	3.68793227865955	-0.604946618294967	0.551653020892092	0.795851718933698	-6.38797994807542	NA	NA	NA	NA	NA	NA	NA	NA
NAA38	NA	NA	-0.211954969880362	3.88743325637214	-0.683194006276662	0.504956716697968	0.836282562369119	-6.21720442588461	-0.0479774749237576	3.55483427513833	-0.285616353902357	0.777951621452779	0.914003771979069	-6.51454537225488	NA	NA	NA	NA	NA	NA	NA	NA
NAA40	NA	NA	0.54148893662282	3.45023794652528	1.71880448024026	0.106324517265789	0.545315658327386	-4.95582163882629	0.114911331277174	3.64031946325525	0.769662177516905	0.450014948376484	0.725199968734902	-6.26753615701063	NA	NA	NA	NA	NA	NA	NA	NA
NAA50	NA	NA	0.266364096697385	5.98648916757557	1.3064867101534	0.211170553518534	0.675444515413865	-5.88355569218628	0.316451016117998	6.07231616261145	2.65451243734412	0.0147772579933471	0.113915924199782	-3.54923983150058	NA	NA	NA	NA	NA	NA	NA	NA
NAA60	NA	NA	-0.0622416351727715	4.82412178790582	-0.252183970555526	0.804340110493999	0.945512074831332	-6.59079562274199	-0.0750312285271564	4.42729021384948	-0.696779563568856	0.493531708131391	0.758277530083534	-6.40311409125768	NA	NA	NA	NA	NA	NA	NA	NA
NAA80	0	1	0.674809240152112	2.47713134136286	1.73532717238967	0.103285620153775	0.543111951126512	-4.69566470524035	0.660117551453645	1.46142993829185	3.89345237899294	0.000829503865099021	0.0189921330600711	-0.52008341953734	1	1	0.674809240152112	0.660117551453645	1	0	0.0167122302725739	0.0121952005228271
NAAA	NA	NA	-0.324978139551185	7.68007073902963	-0.664574594081453	0.516464179824276	0.840474726392614	-6.54709766138303	0.257141110962812	7.32681954741068	0.907924329945474	0.374151829768693	0.671815983002614	-6.20882454628998	NA	NA	NA	NA	NA	NA	NA	NA
NAB1	0	0	2.8095948941131	0.777247920671678	4.32073513471136	0.000613196756327732	0.0713777164889095	-0.315667165591845	0.773846607038108	0.663219433636249	2.90556257015391	0.00841934110506671	0.0802335240824526	-2.53920031635516	1	1	2.8095948941131	0.773846607038108	1	0	0.00285049300882938	0.00235470668159259
NAB2	NA	NA	-0.7330627747574	1.81126947342632	-0.880719902568319	0.39243702208419	0.793067517410162	-5.49656369581023	-0.0242900077273396	1.62446720778592	-0.155748541821711	0.877708788110227	0.953013415051316	-6.19681795309765	NA	NA	NA	NA	NA	NA	NA	NA
NABP1	NA	NA	NA	NA	NA	NA	NA	NA	1.3384452062015	-0.324493122605864	4.63019620044768	0.000141904522947996	0.00604077926449122	0.887963231866636	NA	NA	NA	NA	NA	NA	NA	NA
NABP2	NA	NA	-0.815263868510702	3.24682622934953	-1.34009728423832	0.200268089794246	0.666279862951767	-5.38252802784181	-0.0242562061638343	3.75225957813956	-0.168544224406943	0.86775722271994	0.948450028304659	-6.56795482678948	NA	NA	NA	NA	NA	NA	NA	NA
NACA	NA	NA	-0.17021904109259	8.81031392302183	-0.991339479828495	0.337327160098394	0.76285530578846	-6.26380260061809	-0.00100666655511716	8.85908075803808	-0.00752382660169947	0.99406745719783	0.998565099986254	-6.54675129497137	NA	NA	NA	NA	NA	NA	NA	NA
NACC1	NA	NA	-0.464835586951097	3.65601982175818	-1.51133413956096	0.151593595987795	0.611380715670531	-5.28823297553095	-0.33930737453649	3.56568647603872	-2.58605139798121	0.0171784975622862	0.125520454846254	-3.58325493234773	NA	NA	NA	NA	NA	NA	NA	NA
NACC2	NA	NA	-0.290082701941115	1.86785948236693	-0.7482898096285	0.465919115883012	0.822152078791039	-5.62803471763437	0.00973504989508767	2.06327247612813	0.0449673271213428	0.964555389473862	0.989092505187046	-6.29597184636998	NA	NA	NA	NA	NA	NA	NA	NA
NADK	NA	NA	0.336023569697827	6.58621636285471	1.83684279782445	0.0862363589287872	0.51119104871586	-5.16040646989558	0.188127776036922	6.15147417516984	1.45257186467967	0.161024146320576	0.447044912572572	-5.63850751990798	NA	NA	NA	NA	NA	NA	NA	NA
NADK2	NA	NA	0.342148656930635	7.07540726005085	0.847790479000252	0.409950600265942	0.79869158993217	-6.40143533310786	0.559910685922179	7.4314068771451	3.63078530491417	0.00155207707751612	0.0281736154787863	-1.37391302448952	NA	NA	NA	NA	NA	NA	NA	NA
NADSYN1	NA	NA	-0.313210095047018	3.26563144966332	-0.781727878842928	0.44660418598789	0.81403078183148	-5.99090093387094	-0.183716601308599	3.78616417490343	-1.83603073563383	0.0804580716817067	0.307655122532779	-4.98154286453944	NA	NA	NA	NA	NA	NA	NA	NA
NAE1	NA	NA	-0.977964264824237	2.14223966380229	-1.14563512028255	0.269991639746524	0.714744885852477	-5.31618904594189	-0.0567171680329133	3.33642659914123	-0.481773605828183	0.634916421401995	0.846574783077908	-6.40600311640739	NA	NA	NA	NA	NA	NA	NA	NA
NAF1	NA	NA	-0.583302054116244	2.25501849067504	-0.704164992454599	0.49217615048416	0.83306447052824	-5.75501115607822	-0.265125730170186	2.73068060048792	-1.60347524530066	0.1236659096611	0.386784296124693	-5.18717066390006	NA	NA	NA	NA	NA	NA	NA	NA
NAGA	NA	NA	-1.09624092853508	2.59577918217559	-1.20336366191903	0.247584228069184	0.69910805573488	-5.36197446859639	0.121299992376843	3.74582960014096	0.831970270982649	0.414724793224611	0.702678940389814	-6.23164079337818	NA	NA	NA	NA	NA	NA	NA	NA
NAGK	NA	NA	0.511386353311218	-0.495995852525387	0.455382207552058	0.655391665029183	0.898510407439438	-5.39854783751988	-0.249642237583215	2.43631511793273	-1.45024610579613	0.161664893595163	0.448220188179021	-5.35041821762236	NA	NA	NA	NA	NA	NA	NA	NA
NAGLU	NA	NA	-0.291277154798859	3.20475485963424	-1.07467513918937	0.299594727941234	0.735588934612571	-5.70290009331571	-0.215042317302911	3.20691158722911	-1.17410392049943	0.253410240189597	0.562182676729776	-5.82058592347509	NA	NA	NA	NA	NA	NA	NA	NA
NAGPA	NA	NA	0.336103998711964	1.16975315701872	0.544427834938696	0.594191827017778	0.872231609879972	-5.59892162361435	0.454930153551917	2.04401344274098	3.41837581456477	0.0025657558052329	0.0388556043740999	-1.62302873205013	NA	NA	NA	NA	NA	NA	NA	NA
NAIF1	0	1	0.943801754621199	0.698831711710045	1.56356884979911	0.138879268270478	0.594995212619782	-4.59674060495416	0.943018469668904	0.855576262910217	4.60509986458907	0.000150680578530367	0.00624848111716012	1.04766546799979	1	1	0.943801754621199	0.943018469668904	1	0	0.00702177438784907	0.00623768455196522
NAIP	NA	NA	0.758259225518802	2.50043989162058	1.56129111794922	0.139414224866977	0.595524735964153	-4.94724773979798	0.363934344060872	1.97803119286104	1.71356642700377	0.101235356927594	0.346884562232013	-4.89172089963128	NA	NA	NA	NA	NA	NA	NA	NA
NAMPT	NA	NA	0.806346234835077	7.91844760377895	2.2399074824596	0.0407576526268419	0.387942462842658	-4.49843227138321	0.317134662624594	7.1399828018762	1.19221887539245	0.24638620380734	0.555317191394479	-5.92641809152213	NA	NA	NA	NA	NA	NA	NA	NA
NANOS1	NA	NA	1.13952430077597	0.646133402978508	1.79629520269202	0.0927218445592895	0.52495508789265	-4.29078171026744	1.02530855771782	0.532768332791131	2.40991219451164	0.0251443996579291	0.158869891183702	-3.46375090281634	NA	NA	NA	NA	NA	NA	NA	NA
NANP	NA	NA	0.928418066734308	1.74009003882209	1.63148665431608	0.123711950566279	0.574873420359023	-4.67656826028726	0.458038900972527	2.28955595512919	2.29131200441381	0.032312478551397	0.18489348849136	-3.96560369787416	NA	NA	NA	NA	NA	NA	NA	NA
NANS	NA	NA	-0.127968406337129	3.33549712628147	-0.262188736832051	0.796761651013207	0.94288902740047	-6.27593805436807	-0.0515043057440665	4.01151355389751	-0.239694020501112	0.812876113109106	0.92804091599381	-6.58309444057939	NA	NA	NA	NA	NA	NA	NA	NA
NAP1L1	NA	NA	-0.401069966100391	6.983612170982	-1.56583911808319	0.138347799854199	0.594526606285585	-5.57798440867968	-0.0495242272483143	7.53538968429818	-0.290509608549378	0.774257003833212	0.912031901258435	-6.57067632175835	NA	NA	NA	NA	NA	NA	NA	NA
NAP1L4	NA	NA	-0.099550549425711	4.2811878823789	-0.373277603648558	0.714192538174254	0.917639056144978	-6.46486443812782	-0.0364730402926305	4.89758774495345	-0.535579422764116	0.597839000553391	0.824721787303889	-6.53040899047795	NA	NA	NA	NA	NA	NA	NA	NA
NAPA	NA	NA	0.190915475346547	8.27612630376868	0.720822881855941	0.482161879547431	0.828674112856278	-6.50244208183043	0.119414439050453	6.86653921797114	0.555560518747564	0.584343080347395	0.815973029253722	-6.4895709383534	NA	NA	NA	NA	NA	NA	NA	NA
NAPG	NA	NA	0.0259600629513947	4.41516913433521	0.0958842228026271	0.924888664889761	0.982236388760403	-6.55646032915567	-0.145709420693745	4.96920488523911	-1.7287037741334	0.0984403274963796	0.341078599303783	-5.24021777047299	NA	NA	NA	NA	NA	NA	NA	NA
NAPRT	NA	NA	-0.510551889986224	3.8104038244566	-1.39758443083981	0.182675719825844	0.648692274643212	-5.48029571628993	0.0389579873517896	3.73592357440872	0.278502604339351	0.783332401053356	0.915055524134509	-6.54055361487044	NA	NA	NA	NA	NA	NA	NA	NA
NARF	NA	NA	-0.391995331087538	5.43248670063261	-1.1765963383838	0.257789580770351	0.70383126868495	-5.99906591270563	0.41103126426194	6.08032237886545	3.01093903590751	0.00662014113077842	0.0693821741489092	-2.79922714760768	NA	NA	NA	NA	NA	NA	NA	NA
