Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	E_FC_08	E_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116503789	NA	NA	0.533740043803251	3.17125403462443	1.46252066385678	0.164071672966408	0.734230047008293	-5.08580206085195	-0.0552718267206935	1.58700784500647	-0.29372608335746	0.771813443070867	0.995089477239615	-5.94160601569865	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503792	NA	NA	-0.0219926861862807	4.05903482004591	-0.0707705029757659	0.944507923958854	0.988141316442782	-6.31678786510074	-0.0677170411332177	4.39506858658965	-0.557301276317866	0.583137887262764	0.995089477239615	-6.25305733096789	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503795	NA	NA	NA	NA	NA	NA	NA	NA	0.105427161144886	-1.60739464868201	0.19687402722391	0.845794671848676	0.995089477239615	-5.23362423138562	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503796	NA	NA	0.322280097014183	2.04368228698409	0.699315002517665	0.49497274515346	0.858141523486961	-5.54760145520103	0.182149635008616	2.16311450922372	1.32353830996152	0.199703374221246	0.977007808905936	-5.25674493038069	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503800	NA	NA	-0.425517287134899	4.12095399854912	-0.996638993390351	0.334622108956846	0.798907086069153	-5.80670874693757	0.571024257208503	4.56631306276189	2.87317135656948	0.00902363050755237	0.620888812613476	-2.87896338823202	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503803	NA	NA	-0.564861405696912	2.77736774074851	-1.46125503528265	0.16441388466738	0.734230047008293	-4.95235484752489	0.080053590139566	3.10155960543055	0.447391126866454	0.659114391617483	0.995089477239615	-6.15452626137931	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503805	NA	NA	-0.171321495487156	-0.214736144204832	-0.156755837917204	0.877511100466692	0.972328317024512	-5.40379439348751	0.561789266671329	1.42388276447535	1.56156757069643	0.133142520575213	0.953563432235177	-4.82260921936701	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503807	NA	NA	-0.743791922621772	0.64679541406737	-0.85574124809176	0.405497244511943	0.82636189863343	-5.20079587461626	-0.363580122306485	1.65001392612085	-1.72531110435496	0.0989690850230425	0.940693835452389	-4.63134205443455	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503809	NA	NA	-0.106853764009074	-0.0930342332387043	-0.164459420247963	0.871547754253105	0.970642703736105	-5.41603083962653	-0.268818803431336	0.29898029906991	-1.04965270615927	0.305655380453938	0.987533224507549	-5.21445781176488	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503813	NA	NA	0.0324716777897698	-1.10759383888014	0.0315895385087338	0.975212581730881	0.99476674535054	-5.32722545705622	-0.503984260335606	-1.35863188714112	-1.30283221105851	0.206557647037494	0.977007808905936	-4.66238465672088	NA	NA	NA	NA	NA	NA	NA	NA
LOC116503818	NA	NA	0.0660062328059348	3.07877706025774	0.205503944477388	0.839919420986806	0.963038028138051	-6.03063822934871	-0.0994941719278466	3.26402664339139	-0.973617425590551	0.341186902147749	0.987533224507549	-5.81168850126529	NA	NA	NA	NA	NA	NA	NA	NA
