Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	HM_FC_08	HC_Meadow_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116520234	NA	NA	-0.119957250877306	2.36613723388499	-0.16949710220366	0.86793365098181	0.970917645525152	-5.73389034898787	-0.0871941808989902	2.48183680977652	-0.232752089139008	0.818422611193794	0.949333389770729	-6.08707987028844	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520235	NA	NA	0.710698382719149	-0.675969011592199	0.642903659064564	0.531116727480729	0.891498907678792	-5.20239216358873	0.17899041389407	1.02038337071786	0.127253129004933	0.900066325931735	0.975081659694499	-5.62244798248485	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520244	NA	NA	-0.10888456847118	4.93988583911773	-0.259424531341982	0.799244288785087	0.952807692870608	-6.45632625012795	0.0496081988496284	5.09858639053991	0.191906155705913	0.849835294011953	0.960480998141484	-6.39738730354117	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520246	NA	NA	0.263257013167902	3.86729342982959	0.63744792924065	0.534556414947062	0.892396894207591	-6.08334632642816	-0.840588761590173	2.86957884527597	-1.2214482806559	0.236735740995198	0.605942188388782	-5.46779468256933	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520247	NA	NA	0.351180280992826	-0.898771347651485	0.223444271986676	0.826554689419651	0.960393929098931	-5.2947587298254	0.345955976188314	0.17312162814286	0.203387906411985	0.840976710983139	0.95719238320359	-5.50239699949076	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520258	NA	NA	-0.0958388672801662	-1.87841128972819	-0.0469399333708328	0.963252361287831	0.993121240724956	-5.30144227617373	0.159883962485123	1.32380576010371	0.20697542186382	0.838213207158385	0.956959779885862	-5.82276426468438	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520260	NA	NA	-0.829172537456538	0.229838646014733	-0.610894715769171	0.551474889772933	0.897735440969592	-5.25742693288022	-0.0676957468164939	0.273561130038344	-0.180340738435676	0.858779172874792	0.962865530553658	-5.62467922081524	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520261	NA	NA	3.91685968072956	0.0387822673973603	2.34574859040561	0.0349473658449136	0.63866653638743	-3.4903603169125	0.166334159093804	0.698714653508749	0.278124804517644	0.783896255699136	0.93855528631828	-5.69148655285681	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520263	NA	NA	-0.453679527437367	0.623363046499831	-0.359162151272251	0.725060965690145	0.93463269593303	-5.47981420231835	-0.0310064360639803	1.84892370442714	-0.0457120342272445	0.964012936962115	0.989827009310816	-5.98139321318131	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520273	NA	NA	0.0101804305557387	2.33510434942946	0.0147198195501555	0.988472266315133	0.998790790976459	-5.74048439846592	-0.450313329748338	1.75694584737415	-1.42406546796851	0.17051343972374	0.523660235933879	-5.03364853202858	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520274	NA	NA	-0.000897896510206664	1.87233480740285	-0.00154889303237299	0.998786947660509	0.999819459251655	-5.77341922578518	0.372919102239786	1.41940655400064	0.995796303823559	0.331761934642469	0.691682211401201	-5.46273674704556	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520275	NA	NA	2.27497060906779	0.978512636842172	2.20413222512911	0.0455314398345559	0.63866653638743	-3.68529532480934	1.32884727589868	0.604431393553287	2.91975148781116	0.00873637324506868	0.12772679391803	-2.48275417756325	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520276	NA	NA	1.57855937710653	0.716378017098021	1.40197861241381	0.183622871701446	0.721202864490149	-4.64536774788491	-0.404233953316635	1.4148553669589	-0.977062175368448	0.340716567391535	0.698696493870177	-5.48492064710583	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520277	NA	NA	0.315455225099662	0.458005989987765	0.397615658450716	0.697165055845378	0.928849992395557	-5.42561021488268	0.0173279724817343	-0.141007264789711	0.0544219064406537	0.957162589251444	0.988300478004231	-5.58385846652139	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520280	NA	NA	1.6516976327431	1.12434511035032	1.59902950834942	0.13308017044482	0.687540702772343	-4.47242316793321	-0.0166700720291178	0.0561550495057205	-0.0402889353693257	0.968279709409918	0.990925419577328	-5.61318372158826	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520281	NA	NA	2.00029997723746	3.14152045975	1.03965252217527	0.316868128314837	0.801648757539201	-5.48877360018009	0.938304835075975	1.52377104659025	0.854510485025887	0.403382358008442	0.744552823911288	-5.81985268621943	NA	NA	NA	NA	NA	NA	NA	NA
LOC116520287	NA	NA	2.71733155281296	0.229237201669809	2.46400377917957	0.0279433565369667	0.63284343146154	-3.32793099726599	0.211848389035257	0.492598856078829	0.551966114003076	0.587353812177015	0.852040899027594	-5.63261189629139	NA	NA	NA	NA	NA	NA	NA	NA
