Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	HC_Lake_FC_08	HC_Lake_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
COMMD4	NA	NA	0.45252343002774	3.68437778910715	0.901789509851134	0.383066068505724	0.95343320326939	-5.95149019730282	-0.431682667136687	3.78815591571577	-2.23104599192289	0.0378201990133288	0.414728945259382	-4.1421236925703	NA	NA	NA	NA	NA	NA	NA	NA
COMMD5	NA	NA	-0.349664203711423	4.53298798026534	-1.30825036856333	0.212749846597277	0.859883156661497	-5.68862963690347	-0.0705844575865244	4.24449013305812	-0.489963838413811	0.629723644471865	0.922823000386219	-6.29425976115107	NA	NA	NA	NA	NA	NA	NA	NA
COMMD6	NA	NA	-0.138461402579914	5.83175330844637	-0.463052602190772	0.650745185056351	0.992106992324696	-6.51853940021695	0.0543845440473296	5.38858695732899	0.299954043643477	0.767442743747145	0.959318726208054	-6.42875486711631	NA	NA	NA	NA	NA	NA	NA	NA
COMMD9	NA	NA	-0.754437369191242	2.30172100996026	-1.06732680483903	0.304646353589145	0.912117479624588	-5.4104409468618	-0.204973949571183	2.68554031993262	-1.62828643815895	0.119799287764142	0.61090632516661	-4.95019078079058	NA	NA	NA	NA	NA	NA	NA	NA
COMT	NA	NA	-0.222214687324322	7.55489134711071	-0.52098399626278	0.610866004354186	0.992106992324696	-6.51837331004544	0.377015725236719	6.98085161425362	1.4369420085266	0.166867164785767	0.676659681980429	-5.424719148895	NA	NA	NA	NA	NA	NA	NA	NA
COP1	NA	NA	-0.138483249021418	6.0862012761028	-0.554190754284491	0.588563398839197	0.991204785749683	-6.47943910213584	-0.178185433970584	5.78208249038682	-1.45834641322596	0.160946268886544	0.671940799693991	-5.43838375676699	NA	NA	NA	NA	NA	NA	NA	NA
COPA	NA	NA	-0.248999338712259	8.01131217463031	-0.578576676056134	0.572456114953903	0.989172142930853	-6.48208500043746	0.0345359879414673	7.50670499090741	0.203796445210244	0.84066190139014	0.973527444355661	-6.38595567822417	NA	NA	NA	NA	NA	NA	NA	NA
COPB1	NA	NA	0.175447078437095	6.25563654466819	0.531638221020029	0.603664808558886	0.992106992324696	-6.49610070231177	0.26647831625236	6.01409398791753	1.20830601516071	0.241634468676236	0.754277961814137	-5.74722258967779	NA	NA	NA	NA	NA	NA	NA	NA
COPB2	NA	NA	-0.20823225441058	5.56707354119614	-0.62176210963784	0.544515322173776	0.982895664434968	-6.42121252543787	0.0346218459180125	5.75727159748337	0.192518945323661	0.849361975975046	0.975174805853282	-6.45588866976116	NA	NA	NA	NA	NA	NA	NA	NA
COPE	NA	NA	-0.189686100920733	5.37894752192857	-0.416977791583513	0.683286749937327	0.992106992324696	-6.50938098308444	-0.298627805961445	4.90292213402471	-0.851840789849011	0.404826148378547	0.838622664581562	-6.09796026080948	NA	NA	NA	NA	NA	NA	NA	NA
COPG1	NA	NA	-0.00113588679764387	5.52164567966621	-0.00376162592192518	0.997053999580878	0.999388912032036	-6.60624426825477	0.206364358812507	5.57686738559236	1.06334262944492	0.300847673590278	0.790126135328238	-5.91201084695495	NA	NA	NA	NA	NA	NA	NA	NA
COPG2	NA	NA	-0.300773501809589	4.22565340759065	-0.757462666853534	0.46186446266213	0.970173169352346	-6.20705028258794	-0.140409508723705	4.17278141570052	-0.68067920202067	0.504219376032726	0.876040189685561	-6.17609179190754	NA	NA	NA	NA	NA	NA	NA	NA
COPS2	NA	NA	-0.0753685262417605	7.43292285879977	-0.283794661793953	0.780898348061079	0.992106992324696	-6.61802846727504	0.00414848900037956	7.05197977160533	0.0206557406557457	0.983733906985062	0.996902453877364	-6.4315594272697	NA	NA	NA	NA	NA	NA	NA	NA
COPS3	NA	NA	-0.147748498203078	5.58572026807833	-0.444003341548715	0.664114311155224	0.992106992324696	-6.51739911980995	0.00930311420182939	4.95978819992284	0.0668480272146385	0.94739544373485	0.98960843123586	-6.46613083226834	NA	NA	NA	NA	NA	NA	NA	NA
COPS4	NA	NA	-0.418712365135575	5.2117110001957	-1.6810791149933	0.115857397306377	0.75026995313361	-5.24228091387301	0.10961056368027	4.55949708416344	0.641249313202658	0.528958768312787	0.885963511187565	-6.23522608045227	NA	NA	NA	NA	NA	NA	NA	NA
COPS5	NA	NA	-0.404359993072125	4.23560109846357	-0.967269964382453	0.350516022962798	0.942761181462033	-6.00743129437498	0.109288122224831	4.46420966169488	0.571541646529359	0.574277968216227	0.904600269023586	-6.2729497490595	NA	NA	NA	NA	NA	NA	NA	NA
COPS6	NA	NA	-0.418777126439257	5.8034249732128	-0.92378822402458	0.371906500138138	0.950651522667806	-6.1889837485596	-0.026215383276516	5.65923721106911	-0.145729306428663	0.885657578939578	0.981252677430907	-6.46608079923223	NA	NA	NA	NA	NA	NA	NA	NA
COPS7A	NA	NA	-0.0699001666109567	4.71290751411381	-0.270317634350222	0.791027897943232	0.992106992324696	-6.51545311463455	0.0145503709513077	4.62454000420166	0.112171940413371	0.911854135414258	0.985207877730153	-6.44528000163523	NA	NA	NA	NA	NA	NA	NA	NA
COPS7B	NA	NA	-0.133796916561439	2.14872992646008	-0.175963731286744	0.862949608455623	0.992106992324696	-6.00034078410008	0.4021087391757	2.27839190575275	2.23680092981895	0.0373806631104703	0.412884139226178	-3.89213276380358	NA	NA	NA	NA	NA	NA	NA	NA
COPS8	NA	NA	0.104874359585552	3.59554190408518	0.316035669232848	0.756836354733007	0.992106992324696	-6.31764517424589	-0.0608775876805447	4.26499093758641	-0.52388007798452	0.606370542962723	0.916958326049991	-6.28809423416853	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	NA	NA	-1.85414518123759	-0.315370997188073	-0.850103017515775	0.410176311115464	0.961000794715549	-5.14386946105229	-0.216341064221648	3.68030245409811	-0.804046085549634	0.431235604222414	0.850067137164519	-6.05208287912917	NA	NA	NA	NA	NA	NA	NA	NA
COPZ1	NA	NA	-0.100080720718585	4.47479320131969	-0.28169376131663	0.78247474644887	0.992106992324696	-6.48349476757631	0.176825635302293	4.4885729018109	0.897666046339718	0.380507341995899	0.826214930632395	-6.03372485278949	NA	NA	NA	NA	NA	NA	NA	NA
COPZ2	NA	NA	-0.296685303653179	3.21717305495322	-0.657039591272108	0.522262944291519	0.979501563073535	-6.13505115152654	0.340516030858392	4.17916744438942	2.10254988722295	0.0489519913278656	0.456347665925341	-4.3837440253535	NA	NA	NA	NA	NA	NA	NA	NA
COQ10A	NA	NA	1.04621079650405	3.38646817714584	2.44105584936379	0.0291879588768028	0.516657813272755	-3.7651835936439	0.315407294864807	3.60859224921461	0.940932951278656	0.358454054757587	0.814487737086246	-5.90122395670557	NA	NA	NA	NA	NA	NA	NA	NA
COQ10B	NA	NA	0.804516267732543	2.81248578518539	1.93441610856857	0.0744252223303785	0.678638398153255	-4.55994785097644	0.161277557068633	3.33922101099686	0.55474410183109	0.585489164945565	0.908763550355017	-6.15098730801675	NA	NA	NA	NA	NA	NA	NA	NA
COQ2	NA	NA	-0.0217661107226715	0.460445531497524	-0.0206404006420542	0.983836206621951	0.999191600031175	-5.70679572241807	0.141858454346168	1.9791388762768	0.617450298098968	0.544208189337297	0.893048485368038	-5.88062773914568	NA	NA	NA	NA	NA	NA	NA	NA
COQ3	NA	NA	-0.0543084848991899	4.74688279139665	-0.107817253935389	0.915735732333891	0.99570598424556	-6.5665314962741	0.0792661794613636	4.68504454337523	0.368464411364259	0.716567393912665	0.946351611746469	-6.3841774945296	NA	NA	NA	NA	NA	NA	NA	NA
COQ5	NA	NA	1.04131040362553	2.60863004394176	1.58573616201608	0.136069486495986	0.785696998327152	-5.00348925817096	0.963900606106105	3.57523192652545	3.03015425042832	0.00684046454401956	0.21047919794189	-2.51802030095863	NA	NA	NA	NA	NA	NA	NA	NA
COQ6	NA	NA	-0.228893811382065	3.6057321813138	-0.704525674747189	0.493149582668031	0.978212105612744	-6.1508246648565	0.279822589218217	5.06046441098063	1.95424208963098	0.0654284047257397	0.499839761036077	-4.68620888686672	NA	NA	NA	NA	NA	NA	NA	NA
COQ7	NA	NA	-0.537170956551513	2.55389802163806	-1.18876113866794	0.255141195990961	0.886212123342341	-5.37560568208564	0.170894181483074	2.95755002502247	0.793196542198296	0.43737794461664	0.85082811331631	-5.92915576258153	NA	NA	NA	NA	NA	NA	NA	NA
COQ8A	NA	NA	-0.299459144856239	6.57940992442416	-1.33279954611633	0.20478132864528	0.851443255711361	-5.77098857349503	0.156605202776234	6.80869985320396	0.717161259804277	0.481928293185155	0.866839913437187	-6.17582224142246	NA	NA	NA	NA	NA	NA	NA	NA
COQ8B	NA	NA	-0.401556292042383	4.40050910772807	-0.753197604346193	0.464338562871595	0.970527771746738	-6.25468333134464	0.0244890622513223	4.83232111833432	0.131754598437499	0.896552351165582	0.982457606937986	-6.45171036430953	NA	NA	NA	NA	NA	NA	NA	NA
COQ9	NA	NA	-0.125492941008004	5.29424769074553	-0.436639616498979	0.66931475981892	0.992106992324696	-6.49313250773447	-0.198953603024241	5.05582576537254	-0.999757693498312	0.329889665571073	0.807381910446727	-5.96739602612015	NA	NA	NA	NA	NA	NA	NA	NA
CORO1A	NA	NA	-0.155299704221494	3.56783714920687	-0.231011530941733	0.820790054884749	0.992106992324696	-6.37055608840649	0.226740149627192	5.39551162360192	0.509922976496975	0.615930190220465	0.918849794894636	-6.34343035509727	NA	NA	NA	NA	NA	NA	NA	NA
CORO1B	NA	NA	-0.0289410005040365	7.00582818101193	-0.0811708200283111	0.936504037161167	0.996475322049385	-6.65656135420052	-0.0393994251078693	6.47611384663757	-0.319597692205212	0.752732498144281	0.955685026871461	-6.40132156287519	NA	NA	NA	NA	NA	NA	NA	NA
CORO1C	NA	NA	0.721311225541693	3.73163665344475	1.49844504488903	0.157164444604946	0.804869672916383	-5.33202913989962	0.179959756151574	4.15106017883188	0.708330351842769	0.487270508680168	0.86950750282592	-6.15928299785497	NA	NA	NA	NA	NA	NA	NA	NA
CORO2A	NA	NA	4.12509451315584	0.729120132185892	2.18863993313193	0.0468569284273629	0.612109312271584	-3.77886123820041	0.106554049620639	1.80935427430414	0.345186834771047	0.733715209608444	0.951337837886315	-5.92591631439772	NA	NA	NA	NA	NA	NA	NA	NA
