Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	EH_FC_08	EH_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
LOC116515011	NA	NA	-0.923486568925	2.9266621242099	-1.41697300652172	0.179282601401569	0.957895029033551	-4.69262639642398	-0.193953077552109	3.40046951814021	-1.39901287479684	0.177792106632123	0.982976659628235	-5.00618182003134	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515059	NA	NA	-1.81964865377435	1.63479706351707	-1.56716029253912	0.140343304870329	0.957895029033551	-4.39334705953134	0.289429499578032	2.13098908578213	1.44651108807347	0.164198648781454	0.982976659628235	-4.79190407250098	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515064	NA	NA	0.629165148080718	3.65207482126845	1.59082360325888	0.134918699141893	0.957895029033551	-4.74133836159594	0.0175081873362739	3.22735956630112	0.108358835234946	0.914837981181667	0.999415040137855	-5.88887117498496	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515082	NA	NA	0.407164067766373	2.23672975315798	0.688012245113809	0.503162813712962	0.978785239700477	-5.32104145346683	-0.0819515957289365	2.42412140687296	-0.458968042562078	0.651422093463897	0.997719278780949	-5.6628798401093	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515093	NA	NA	-0.15147051461185	3.45550216120092	-0.224296490075717	0.825904953298302	0.992031711261414	-5.92639757936858	-0.499995183280116	3.11257287576645	-1.05490029160357	0.304594500209939	0.9858543496702	-5.32956797123627	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515097	NA	NA	-0.177383393680154	4.23872705811684	-0.327531742438108	0.748318334645454	0.992031711261414	-5.92212559323813	-0.199484924052287	4.96899631345968	-1.7808934887818	0.0907941168390663	0.967679044852072	-4.60007255633898	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515098	NA	NA	-0.191354946403339	4.30780892749135	-0.361028834291225	0.723696951197812	0.990318154916935	-5.99415683552325	-0.233334860274613	5.10121805370577	-1.43040531280745	0.168710194099948	0.982976659628235	-5.09375292355153	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515104	NA	NA	-1.50718813854822	0.443127522492689	-1.34383660714485	0.201278387982024	0.957895029033551	-4.55660018315103	-0.0126649589587844	0.572257740500643	-0.045572671440757	0.964122571108412	0.999415040137855	-5.51599126396193	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515114	NA	NA	-0.0579608154181499	2.77029429780432	-0.127097493171111	0.900747643509445	0.996394337201896	-5.64401940039622	-0.169604637171711	3.10661562223605	-1.08466969081085	0.291530464853198	0.984171362816438	-5.32870528683704	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515133	NA	NA	-1.63003397600257	2.2896936727806	-2.74875333608486	0.0161814854836142	0.957895029033551	-2.9519663894016	0.590664845800676	1.96355605989392	1.44352024193129	0.165028949557238	0.982976659628235	-4.7589437256579	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515167	NA	NA	-0.0846787840149421	2.52348713204928	-0.139042703583486	0.891481042421872	0.995737123715299	-5.77963017904911	1.1595164379319	0.546397568301579	1.57765040753822	0.131016609991743	0.98083009521932	-4.4313642553995	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515170	NA	NA	0.683047004776314	2.13939442941867	1.06075666446764	0.307515928917393	0.957895029033551	-4.97913597241554	-0.0863228351281227	2.08088633404691	-0.363271281034881	0.720380032283769	0.997719278780949	-5.63575494707991	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515172	NA	NA	-0.121196094904054	3.70736395852988	-0.338969806676828	0.739877157160306	0.991071892551023	-5.9458269894317	-0.00919534871757222	3.29609672024642	-0.0323257550854394	0.974546701330985	0.999415040137855	-5.90005801553328	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515179	NA	NA	-0.250368570092281	1.4819300661266	-0.290143762103313	0.776140464406589	0.992031711261414	-5.23491088349569	0.614627193212468	1.47774731081435	2.91723889876915	0.00878493766633256	0.78335606224358	-2.48682924212631	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515182	NA	NA	0.193925310159335	10.2362972408987	0.310080749259582	0.761261724114198	0.992031711261414	-6.12280482879274	0.33072672979428	9.13795346676382	0.458903697665087	0.651467480124394	0.997719278780949	-5.69882468324879	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515205	NA	NA	-2.21234976019257	-0.803048868406193	-1.5069009847062	0.15500637116659	0.957895029033551	-4.40714806191224	0.311612882271777	0.225151137522932	1.05639949289462	0.303926701685137	0.9858543496702	-5.01746125018639	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515212	NA	NA	-1.1836312909579	1.3513431627414	-1.68464079798883	0.115155996644033	0.957895029033551	-4.2928594043844	-0.393765810568706	0.570929896892177	-0.727498279495618	0.475718874315268	0.98946208039976	-5.201066560966	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515215	NA	NA	-2.21096736331416	0.736852684238126	-1.97005964411838	0.0698211834080526	0.957895029033551	-3.95983549018405	0.0270067034153338	1.23485098640587	0.0869725269068571	0.931596025346611	0.999415040137855	-5.54010723670491	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515218	NA	NA	-0.542740632862812	1.01924727784993	-0.666865700138928	0.516158677910593	0.982923302478326	-5.18613208261884	0.981369972242722	0.46955794555586	2.33992028468321	0.0302604723252325	0.925034749321616	-3.42469818715656	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515224	NA	NA	-0.21821016185701	6.0509262225045	-0.670938215169745	0.513640848342961	0.982923302478326	-5.98006440844287	-0.206561850175999	6.22133405521311	-0.790298989935733	0.439027519808054	0.98946208039976	-5.73743064770856	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515230	NA	NA	-0.404385367235325	0.835417666494318	-0.482347228938258	0.637330416312955	0.984666484893177	-5.24270262076956	0.00268138160766615	-0.386589179220588	0.00747746735179535	0.994111221216856	0.999415040137855	-5.26940766453507	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515235	NA	NA	-1.47040773340477	-0.264905637830283	-1.06196795060828	0.306985392555867	0.957895029033551	-4.78917979162044	-1.02001139906624	-0.6285071432886	-1.17119539997846	0.25588261556373	0.982976659628235	-4.66674957358403	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515238	NA	NA	-0.767209594152484	4.35439686111243	-1.60194534698093	0.132432099816556	0.957895029033551	-4.84747024100945	0.402958838935009	5.15796827997854	1.96360021640243	0.064258089259648	0.95359391708271	-4.3177890933652	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515239	NA	NA	0.752883291823301	1.77433471439778	1.09049932519236	0.294683833882575	0.957895029033551	-5.2421401860807	0.444019559262891	0.0803093836668306	0.72623718061504	0.476473867533391	0.98946208039976	-5.16609475154312	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515244	NA	NA	-0.824700804801047	0.706079518801249	-1.08241366396652	0.298132123751536	0.957895029033551	-4.8309431287104	-0.377436309994815	-0.442454378929965	-0.639070716099047	0.530344904961289	0.989599798649865	-5.02563352437246	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515248	NA	NA	-0.0327078744030344	0.520326901475809	-0.027833314472784	0.978204693580029	0.999007677392121	-5.20575936208438	-0.412635327478209	0.373082249643787	-0.905679925629475	0.376355968173171	0.988305739874571	-5.02096147952058	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515251	NA	NA	-1.70064928177192	-0.369600943701787	-1.91381197360819	0.0772110394746883	0.957895029033551	-4.02287125926024	-0.370650301810767	-0.813295956349354	-0.798785520342736	0.434207042573101	0.98946208039976	-4.88197718374212	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515253	NA	NA	1.48035421583788	-1.64993048735787	0.946282730080829	0.360729917249466	0.966967971101374	-4.79121031887588	-1.57857229639951	-0.649390073740728	-1.24382084952974	0.228571373903902	0.982976659628235	-4.60740493297003	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515254	NA	NA	-0.0764694613946753	4.35843036923818	-0.154793985856171	0.879287293822797	0.994831164445802	-5.98207310191237	-0.140468923377283	4.41014390060732	-0.570632589214077	0.574881883516583	0.995223205246671	-5.86117777147932	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515262	NA	NA	0.421221455499156	0.517939116487191	0.555240485405428	0.587865246030113	0.982969480925243	-5.1730323698413	0.509500065648727	0.185191904313665	1.52311675953489	0.144067265009389	0.982976659628235	-4.46228738834193	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515271	NA	NA	-1.23165727152429	0.559014892643962	-0.79913221066808	0.438127352161997	0.97484142941414	-4.9615822342303	-0.760422880897556	1.78151118342947	-0.740272911771965	0.468111017366713	0.98946208039976	-5.30758496241888	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515272	NA	NA	-0.556913221410932	0.851370718681304	-0.596621799707176	0.560688938228652	0.982969480925243	-5.1480423363787	-0.421578849543043	-0.0461348343222484	-0.843367934236397	0.409430391687111	0.988469861247013	-4.98067679493749	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515273	NA	NA	-0.690339470757993	5.23163950992363	-1.41255245200587	0.180553255858828	0.957895029033551	-5.19664705389331	-0.018466859366848	6.55924497372817	-0.126706657065259	0.900493062986195	0.999415040137855	-6.02725135695951	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515274	NA	NA	-0.868957531660156	-0.766317332409134	-0.628930033530281	0.539951682712443	0.982969480925243	-4.95441814902901	-0.395364856182461	-0.979722148629739	-0.918213385163044	0.369924088408436	0.988305739874571	-4.83524344811855	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515280	NA	NA	0.684084278585714	8.2360460299596	1.28014350611705	0.222177481094469	0.957895029033551	-5.45174378592282	-0.0601677042771387	7.2642307271225	-0.160100967845287	0.874477657038199	0.999415040137855	-5.99903220649367	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515281	NA	NA	0.807336912351138	9.75937137543539	1.72191679812961	0.108035846559885	0.957895029033551	-4.8489234002111	0.504681331744132	9.53872147475659	1.62746025386057	0.119975589429595	0.978259514995556	-4.6924633480232	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515282	NA	NA	-0.0606120122774119	10.4539855335001	-0.100850742073299	0.921159909855784	0.997148118818664	-6.21263704867918	-0.15078645514604	10.7020482965178	-0.542334181563511	0.593841869152059	0.995223205246671	-5.68585745036587	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515283	NA	NA	0.936528190048503	8.4562947303325	1.6541579450066	0.121280904151274	0.957895029033551	-4.9630754475665	0.0162996908599027	7.92154723205434	0.0303252263611436	0.976121392845278	0.999415040137855	-5.97604400119567	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515285	NA	NA	0.298911657599433	7.05442786489515	0.510994695416565	0.617656139546535	0.984666484893177	-6.1150841387313	0.102705060391899	5.64675250263438	0.238634467226172	0.813923226224372	0.999415040137855	-6.03004349595864	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515288	NA	NA	0.709469416835756	5.91112826936497	1.14666042124732	0.27155299612987	0.957895029033551	-5.56990105949661	-0.00789528419733232	2.18899439975657	-0.016414741746494	0.987073275096287	0.999415040137855	-5.79007964823757	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515303	NA	NA	-0.516922859378028	3.21429622157585	-1.15601643502162	0.267837690438321	0.957895029033551	-5.13331262494797	-0.106497627727962	3.1956678282266	-0.712238886786064	0.484901808130956	0.98946208039976	-5.64405319758853	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515309	NA	NA	1.04742912855462	1.96611070381378	1.82499776276699	0.0903312951982137	0.957895029033551	-4.15980263752935	0.897442676908226	2.16989545079871	2.81645788232057	0.0109619143173621	0.836991457745248	-2.65728835383643	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515328	NA	NA	0.0234999374212177	3.22890304718605	0.05072812201216	0.960289350430575	0.997365814341137	-5.77376221619786	0.0782659407240556	2.92236869846319	0.407959948856271	0.687826579789006	0.997719278780949	-5.7864248921824	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515332	NA	NA	-0.0639225056237978	5.34181773040334	-0.271364114221201	0.790239908842692	0.992031711261414	-6.13927195707266	-0.125413934908628	5.25232692240001	-0.665115950550569	0.513904873657659	0.989599798649865	-5.84244248978056	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515333	NA	NA	0.942981423745853	4.08534950935884	1.96932967808736	0.0699128040348647	0.957895029033551	-4.23803465716248	0.375044918020655	5.44998782647379	1.32993152477486	0.199159547000413	0.982976659628235	-5.21789402679403	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515337	NA	NA	-0.444322592926591	6.67640705368248	-1.12399431134542	0.280716641808269	0.957895029033551	-5.61539898986365	0.260447309556171	6.25278544803241	1.59450287071008	0.127189274045797	0.98022692304611	-4.86252818251998	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515340	NA	NA	-0.483401468567914	2.34490672465947	-0.589476376554751	0.565332809024657	0.982969480925243	-5.47604310698066	0.550204386624037	2.73449628116967	2.26626837023204	0.0352027200045242	0.933232120189663	-3.64513793047361	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515344	NA	NA	0.191851937835205	4.90725718960612	0.418536908852852	0.682174303174671	0.986551421714164	-6.02557321831693	0.130795557513073	5.01290943865945	0.511881163020414	0.614584661707555	0.995223205246671	-5.9228165029607	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515356	NA	NA	0.0843710367636641	4.42027919525166	0.234275007781751	0.818307288952106	0.992031711261414	-6.04729260763351	-0.372615155178059	4.97270923038453	-0.85851139514052	0.401224880770923	0.988469861247013	-5.6977652570099	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515358	NA	NA	0.297667672121438	4.35017942186367	0.69493198196857	0.498952371169785	0.978437026351559	-5.8250692150759	-0.0509803795867123	5.11202414403697	-0.125063511438415	0.901776373342673	0.999415040137855	-6.05235596668621	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515372	NA	NA	-1.42126463488211	-1.2841597165779	-1.118011909041	0.283173901948736	0.957895029033551	-4.68997523867663	-0.88185694532094	-0.900650957839918	-1.26586355600256	0.220740803965467	0.982976659628235	-4.59117291831317	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515373	NA	NA	-1.56379518009527	0.124803019876119	-1.23946568437429	0.236408378783464	0.957895029033551	-4.65946145845249	-0.359148549919792	0.453571963509438	-0.566573504540147	0.577582411990478	0.995223205246671	-5.36255089282483	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515378	NA	NA	-0.81922759054651	1.17501073106111	-1.0608971933426	0.307454343406207	0.957895029033551	-4.89477814690807	0.376342496769535	1.63459635158763	1.50362746244299	0.148985164886961	0.982976659628235	-4.6322349895449	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515388	NA	NA	0.0941377691671641	1.61829207219951	0.0980080522024703	0.923374440891833	0.997148118818664	-5.4017687628709	0.264045715340099	2.68268016293836	1.56123147731087	0.134837742814497	0.98083009521932	-4.70955026089331	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515391	NA	NA	-0.500122755615578	1.03839905589461	-0.601964001308615	0.557230496521139	0.982969480925243	-5.16110241166036	-0.15652432133674	0.852411646332908	-0.322853023930143	0.750303891516062	0.998528383068176	-5.35853951333504	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515400	NA	NA	-0.640748085263704	2.06141567844152	-0.698250423150071	0.496940629982057	0.977956710360043	-5.2775475447664	0.0202431008220487	2.56594062997312	0.0913325017040722	0.92817668011278	0.999415040137855	-5.7878901688675	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515405	NA	NA	1.09138261544473	4.71681303109936	1.50952295561612	0.154342319826022	0.957895029033551	-5.01759798156872	-2.22141166381742	5.33823053372233	-1.98824711745525	0.0612645667591639	0.95359391708271	-4.25059152072846	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515409	NA	NA	0.0689413969734938	4.55887415767361	0.118043409553389	0.907781570033958	0.997148118818664	-6.1678508429472	0.217328409053582	4.86637483546252	0.968558283813728	0.344835999313648	0.988305739874571	-5.59815736784897	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515413	NA	NA	0.329268368776853	4.89047825421741	0.69648582018893	0.498009786249831	0.977956710360043	-5.90240690745215	0.497383088952492	4.77860439780472	1.83389537475672	0.0822531364219678	0.967679044852072	-4.51081013137616	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515414	NA	NA	-0.59928486628649	5.73307353667988	-1.78527240711852	0.0968224004699005	0.957895029033551	-4.73961471439661	-0.177068266573172	5.41321812478757	-1.1082880443457	0.281458682698291	0.982976659628235	-5.46806637498373	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515418	NA	NA	0.563940605675045	12.8618470251366	1.35308925516966	0.198379450475274	0.957895029033551	-5.29052802960586	-0.135235154311026	13.1598569154372	-0.33888910401775	0.738379757270772	0.997719278780949	-5.67285573048537	NA	NA	NA	NA	NA	NA	NA	NA
LOC116515419	NA	NA	-0.0746044020368881	6.9490149428211	-0.233492825483113	0.818902168317647	0.992031711261414	-6.22215889054606	-0.134746415922298	6.63553099904785	-0.781894402631749	0.443834031853652	0.98946208039976	-5.73151143809962	NA	NA	NA	NA	NA	NA	NA	NA
